model,family,condition,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass,run_ids
GPT55,X28,B,2,1,1,1,1,0,1,0,0,e569086a1c8b5f4f960f6c2d;8b43ee2dd6b1b447c088c979
Qwen30,F01,N,2,2,0,2,0,2,0,0,0,3f51799fedde2844fb15ab4d;f00953226de6149658e7c52b
Qwen30,F01,C,2,2,0,2,1,1,1,0,0,2290bc6e34ce00daf09b031c;74be189b34832a40cecd4245
Qwen30,F01,I,2,2,0,2,1,1,1,0,0,6fefe0f5b9537eb0df4c9916;8c81ad64d4c883c19535e694
Qwen30,F01,B,2,2,0,2,2,0,2,0,0,779115323059064bf9fd928a;81ae997f85820e5ea0fce4cc
Qwen30,F02,N,2,2,0,2,0,2,0,0,0,4573c1251bdefc3f2f29c37a;ba53e69cd771509bedc6d063
Qwen30,F02,C,2,2,0,2,0,2,0,0,0,cd74a82221f8f7b4b10b3e52;fb717ed4c33829db1993ba3b
Qwen30,F02,I,2,2,0,2,0,2,0,0,0,144d467a2a0f421b26654467;90b7380027fc077ce9d237f2
Qwen30,F02,B,2,2,0,2,0,2,0,0,0,15fea8f3c1c9c69a3fbc5e60;934c5dbdffcfa4764b70b4e1
Qwen30,F04,N,2,2,0,2,0,2,0,0,0,05c318f93d64dbdda2dc5c91;73cd8aea5b60d2153fcddbae
Qwen30,F04,C,2,2,0,2,0,2,0,0,0,5a8fc2252e5c39c91364970d;e006915791be668b4066b78a
Qwen30,F04,I,2,2,0,2,0,2,0,0,0,3ca7393450e389c40c34bb63;736afe9c892f09623afe656f
Qwen30,F04,B,2,2,0,2,0,2,0,0,0,3bea2eba9a8a5f2656facca1;b8ee9175a37ea069bc6bb739
Qwen30,F08,N,2,2,0,2,0,2,0,0,0,30271a33e51fbb1042eaabfb;d0ffca0ce3d2aaf4d9b5d6ae
