version,scope,model,contrast,family,F,S,U,records,original_run_ids
original,all13,Terra,I-N,F02,0.0,0.0,0.0,R0221;R0222;R0223;R0224,ee8249a17a1847847fd82981;fe9988e82f9786aaa6f6f9e7;abc78c7790d4b751fd8cc7be;f6a33b9de8808dc42de88244
original,all13,Terra,I-N,F04,0.0,0.5,-0.5,R0229;R0230;R0231;R0232,44ba6a8cff87e1d77511b16d;008f28add6cd45197b6ca349;003273dafef5c774314a5158;47113cf5ce8e50423a5cf6e0
original,all13,Terra,I-N,F08,0.0,0.0,0.0,R0237;R0238;R0239;R0240,6fab677f87e413a913cd625f;518e37aa72a170f980a40110;58e27ae9a48988e9705649c7;e0f896163d8621ef6cca60d1
original,all13,Terra,I-N,F17,0.0,0.0,0.0,R0245;R0246;R0247;R0248,9ddf7291c7c03ee9ffc909ee;783c8f6dfac0ab0634e1d0f3;18307164654f717e628f8801;813c1a6bdeb8691f7a2e09a9
original,all13,Terra,I-N,F20,0.0,-0.5,0.5,R0253;R0254;R0255;R0256,19b405b538e5167abf33ffb3;37fcfe1701aa999909b2ab03;15c0c01ed7a34d7ae8e9433a;896beffa40e815574b560046
original,all13,Terra,I-N,X02,0.0,0.0,0.0,R0261;R0262;R0263;R0264,2536963dec45eedcb30b4bee;a2ae9bef402c19c67abdc858;214707333d12ef01e7587d99;91eddb7566459c421f5fcef0
original,all13,Terra,I-N,X05,0.0,-0.5,0.5,R0269;R0270;R0271;R0272,eb7f743236649bc96fab11bc;2fafc35f0cdfca70d8ec6ff7;1e8dd4dd511257bb6cfcf235;66522a4e0a6640c56b8c5caf
original,all13,Terra,I-N,X06,0.0,0.0,0.0,R0277;R0278;R0279;R0280,0d93bca4348c2a768477656a;a5867fcbca2d4bcb85b66d10;21aa3505eae03dbb7c2f083e;cbd52953072b0a49654c4bae
original,all13,Terra,I-N,X11,0.0,0.0,0.0,R0285;R0286;R0287;R0288,fe7cb975ef119852d4bedce0;e2343fcd907af66473586579;6b802d6d1b20969147597a58;67af78f764e8137e1731e7c4
original,all13,Terra,I-N,X20,0.0,0.0,0.0,R0293;R0294;R0295;R0296,f738be227ad438672b96c6f4;169d235cf7cb54f31a163d6f;82411d1b0432ca0da0d35dfd;51af388469f211dd8a256759
original,all13,Terra,I-N,X24,0.0,0.0,0.0,R0301;R0302;R0303;R0304,9561a5f1e429658272899e0f;6a85f6097165b2809138a775;46d81ed0aba65b11e825aaf6;6052a082affb1e12ec8f49c9
original,all13,Terra,B-C,F01,0.0,1.0,-1.0,R0209;R0210;R0211;R0212,6c25b129b3b9128dbc83d365;1dcef041ba7502458b85e4f5;2c8adbc5bc4bc9d039e84dfe;284c0c7565be7fb829d73ce4
original,all13,Terra,B-C,F02,0.0,0.0,0.0,R0217;R0218;R0219;R0220,f11ceecd000b4225b426df4f;901e03abedcff3b8ec01f990;29acac044a958ba8be3066a8;b1e8e2e4e6fe841956533868
original,all13,Terra,B-C,F04,0.0,1.0,-1.0,R0225;R0226;R0227;R0228,413a6cc24cf778e77d2701ca;e83675dc9497de269d3e660d;08e54cd46cf155b0a7589bf4;e9c7575f00f390577297f6f8
original,all13,Terra,B-C,F08,0.0,0.5,-0.5,R0233;R0234;R0235;R0236,92e8ca4946dbff61399fb5cc;ce2923bfe311b4a69659fe16;658cc6b17edbb4d54bef4a26;d615a6e968062fcf51d6f37a
original,all13,Terra,B-C,F17,0.0,0.0,0.0,R0241;R0242;R0243;R0244,654223961b093cd2e19418db;ea360f810ce3a4d1355af6de;37dd660dbee5aafc77478991;16c6692dfea46b26c4f08a26
original,all13,Terra,B-C,F20,0.0,0.0,0.0,R0249;R0250;R0251;R0252,d6e3ab0cc41bd672cf6108eb;72fb1816659f6df68a88a496;bbc903267bb754c4fb1233c2;9566a806691b147de62ee0a6
original,all13,Terra,B-C,X05,0.0,0.0,0.0,R0265;R0266;R0267;R0268,5f44d9bb279b15f4a52b5c54;c8b31b24353918eb699b83dc;b0bc92bac75ec4c6c53e05d1;a812ccccf8991c76cd3c18b5
original,all13,Terra,B-C,X06,0.0,0.0,0.0,R0273;R0274;R0275;R0276,e180933997bdf9925eb1d01e;e7bc8589e27f2ab4a924e540;1c45ce8b3fa24653a9653f98;c4bb3b5b9035da5c0423d971
original,all13,Terra,B-C,X11,0.0,0.0,0.0,R0281;R0282;R0283;R0284,aa37302931bebb0e8aa84bb3;4e0d06fb76a17002080a0e5c;ce80173624f71b3e5de6323b;53d3d98ec7c8027297c80981
original,all13,Terra,B-C,X20,0.0,0.0,0.0,R0289;R0290;R0291;R0292,f1a8cbfb301e6dd865c47c5f;727e23baa815fd49bf61aa93;05c83b4ed4f5d471f0a62c5c;57a511776dc0d2bdb7a3e9fb
original,all13,Terra,B-C,X24,0.0,0.0,0.0,R0297;R0298;R0299;R0300,7337f315c571e66620c16902;15dd585e51f5277650976544;9242bdbbc561fd496008d943;28c3255750ea6b80d33130df
original,all13,Terra,C-I,F01,0.0,-1.0,1.0,R0211;R0212;R0213;R0214,2c8adbc5bc4bc9d039e84dfe;284c0c7565be7fb829d73ce4;451f6b33f7a9c3e0a5737763;5b2fa0a9f5ae551098cb62ec
